,PPG,color,color_unit,generic,grain_index,maltster,name
410,34,550,°L,True,416,Any,De-Bittered Black (BE)
411,28,525,°L,False,417,Any,German Carafa III
412,34,2,°L,False,418,Any,Belgian Pale Wheat
413,37,3,°L,False,419,Any,Munton's Pale Maris Otter
414,34,40,°L,False,420,Any,Breiss Caramel
415,34,2,°L,False,421,Any,Organic 2-Row
416,35,4,°L,True,422,Any,Vienna (US)
417,34,2,°L,False,423,Any,Organic Carapils
418,34,15,°L,True,424,Any,Crystal 15L (CA)
419,37,3,°L,False,425,Any,Pale Ale (US)
420,33,1,°L,True,426,Any,Carapils (Dextrine Malt) (US)
421,34,60,°L,True,427,Any,Crystal 60L (CA)
422,46,0,°L,True,428,Any,Invert Sugar
423,37,7,°L,False,429,Any,German Wheat Malt Dark
424,47,5,°L,False,430,Any,Apple Cider
425,34,75,°L,False,431,Any,Dark Crystal
426,34,500,°L,False,432,Any,Roasted Barley
427,34,334,°L,False,433,Boortmalt,Chocolate Malt
428,32,112,°L,False,434,Thomas Fawcett & Sons,Dark Crystal Malt
429,37,5,°L,True,435,Weyermann®,Munich Light (DE)
430,33,475,°L,False,436,Any,Bairds Chocolate Malt
431,33,2,°L,False,437,Any,"Oats, Malted ()"
432,30,3,°L,False,438,Any,ESB Pale Malt
433,20,15,°L,False,439,Any,Light Carastan Malt
434,35,20,°L,True,440,Briess,Caramel Vienne 20L
435,32,55,°L,False,441,Any,British Brown malt
436,36,80,°L,False,442,Any,Black Treacle
437,26,483,°L,False,443,Any,Crisp Black Patent
438,34,2,°L,False,444,Any,"Maize, Flaked ()"
439,37,1,°L,True,445,Briess,2-Row (US)
440,34,425,°L,False,446,Any,Chocolate (UK)
441,33,120,°L,False,447,Any,Caramel/Crystal 120L (US)
442,33,300,°L,False,448,Any,Roasted Barley (US)
443,38,3,°L,False,449,Muntons,Maris Otter Pale (UK)
444,34,60,°L,False,450,Muntons,Crystal 60L (UK)
445,34,425,°L,False,451,Weyermann®,Chocolate (UK)
446,38,3,°L,False,452,Any,Pale Ale (BE)
447,38,1,°L,False,453,Any,Pilsner (DE)
448,46,300,°L,False,454,Any,Cane Sugar
449,24,250,°L,False,455,Any,Chocolate Rye
450,31,80,°L,False,456,Any,"Candi Sugar Syrup, Dark"
451,31,337,°L,True,457,Simpson's,Chocolate (UK)
452,28,500,°L,True,458,Any,Black Malt (US)
453,41,1,°L,True,459,Any,Lactose (Milk Sugar)
454,32,535,°L,True,460,Any,Carafa III (DE)
455,38,6,°L,True,461,Any,Munich (BE)
456,32,0,°L,False,462,Any,Belgian Candi Syrup - Clear
457,27,3,°L,False,463,Any,Acidulated Malt (DE)
458,37,5,°L,False,465,Any,Viking Pale Ale Malt
459,37,10,°L,False,466,Any,Castle Munich (25 EBC)
460,34,4,°L,False,467,Any,Viking Cara Pale
461,34,50,°L,False,468,Any,Viking Crystal 100
462,34,18,°L,False,469,Any,Crisp CaraMalt
463,28,320,°L,False,470,Any,German Carafa I
464,32,1,°L,False,471,Any,Candi Syrup Simplicity
465,35,40,°L,False,472,Any,CaraWheat
466,34,2,°L,False,473,Any,Malteurop 2 row pale malt
467,38,2,°L,False,474,Boortmalt,Pale Ale Malt
468,36,55,°L,False,475,Briess,Carabrown® Malt
469,35,10,°L,False,476,Briess,Bonlander® Munich Malt
470,36,5,°L,True,477,Briess,Ashbourne Mild (US)
471,38,3,°L,True,478,Any,Rye (US)
472,34,660,°L,False,479,Any,Black Malt ()
473,35,10,°L,False,480,Any,Orgaic Light Munich
474,35,34,°L,True,481,Weyermann®,CaraMunich I (DE)
475,34,5,°L,False,482,Any,Brown Malt
476,34,63,°L,False,483,Any,Crystal Wheat Malt ()
477,35,3,°L,False,484,Any,Rauchmalz
478,35,45,°L,False,485,Any,Crisp Crystal Malt 45L
479,36,45,°L,True,486,Briess,CaraCrystal Wheat Malt (US)
480,28,90,°L,False,487,Any,Crystal Rye Malt
481,32,431,°L,False,488,Weyermann®,CARAFA® SPECIAL II (Dehusked Barley)
482,34,20,°L,False,489,Any,CaraVienne (BE)
483,32,160,°L,False,494,Any,Belgian Dark Candi Sugar D2
484,34,5,°L,False,495,Any,Belgian Black Malt
485,35,30,°L,False,496,Any,Caramel/Crystal Malt - 30L
486,31,20,°L,False,497,Any,American Two-row Toasted
487,36,3,°L,True,498,Any,Flaked Rye
488,34,60,°L,False,499,Any,Caramel/Crystal 60L (US)
489,37,1,°L,False,500,Any,Cornmeal
490,33,125,°L,True,501,Dingemans,Special B (BE)
491,32,375,°L,True,502,Thomas Fawcett & Sons,Chocolate (UK)
492,30,60,°L,False,503,Any,English Amber Malt
493,32,37,°L,False,504,Thomas Fawcett & Sons,Amber Malt
494,34,60,°L,True,505,Any,Caramel/Crystal 60L (US)
495,10,3,°L,False,506,Any,Maris Otter Low Colour
496,34,120,°L,False,507,Any,British Crystal Extra Dark (120)
497,37,2,°L,False,508,Any,Viking Pilsner Malt
498,34,75,°L,False,509,Any,"English Crystal, 70-80 L"
499,33,21,°L,False,510,Any,Franco Belges Caramel Vienna Malt
500,34,3,°L,False,511,Any,Malteurop Pale Malt (NZ)
501,37,10,°L,True,512,Gambrinus,Munich Light (CA)
502,37,12,°L,False,513,Weyermann®,Dark Munich Malt
503,33,120,°L,True,514,Any,Caramel/Crystal 120L (US)
504,34,57,°L,True,515,Any,CaraMunich III (DE)
505,29,350,°L,True,516,Any,Chocolate (US)
506,37,2,°L,False,517,Any,German Wheat Malt Light
507,34,20,°L,True,518,Any,CaraRed (DE)
508,0,0,°L,True,519,Any,Rice Hulls
509,33,2,°L,False,520,Any,Rolled Oats
510,33,550,°L,True,521,Any,Midnight Wheat Malt (US)
511,33,207,°L,True,522,Any,Pale Chocolate (UK)
512,30,487,°L,True,523,Simpson's,Roasted Barley (UK)
513,35,20,°L,True,524,Any,Aromatic Malt (UK)
514,37,25,°L,True,525,Any,Honey Malt (CA)
515,32,2,°L,True,526,Any,Flaked Barley
516,34,70,°L,True,527,Any,Crystal 70L (UK)
