,x_tsne,y_tsne
0,54.169308,-13.321618
1,-106.55797,-46.32937
2,-20.562191,5.789801
3,122.473366,-41.012547
4,-34.23665,-144.0635
5,-45.150616,-166.27504
6,118.69335,-33.791824
7,6.3850417,26.219194
8,68.22766,4.6231337
9,-45.475334,-162.93077
10,46.508545,-85.016235
11,16.203955,-124.52148
12,19.25591,-22.714018
13,-51.338924,-85.02739
14,101.18998,-32.538277
15,27.454365,-21.657267
16,-59.993458,-66.33825
17,17.486958,-139.049
18,41.9276,63.61433
19,-105.1121,-71.242805
20,52.465923,-25.576551
21,49.540207,-5.690145
22,-79.29599,-85.15407
23,-34.6564,55.780106
24,58.769684,50.742256
25,-38.165543,-164.67828
26,-31.759876,-127.96848
27,-54.667625,119.23322
28,-2.9483535,-155.80713
29,-16.54669,70.88275
30,87.98649,136.64291
31,-102.51453,-60.486084
32,-111.09976,28.507406
33,10.514191,-92.30033
34,73.51728,-88.20503
35,-18.54411,150.31563
36,-35.73938,5.7806435
37,109.5035,-4.8706393
38,-103.52093,4.534766
39,51.076794,-120.09677
40,30.852476,-7.3498936
41,61.678474,6.3669224
42,-5.268844,97.2318
43,-51.86822,-25.08247
44,-14.169817,-160.09225
45,-21.242079,-25.717514
46,-9.709189,170.95755
47,55.430508,62.35136
48,-50.94061,-78.106186
49,-22.697598,16.548151
50,18.093899,-143.2229
51,-73.76126,42.981552
52,5.1629777,15.742225
53,27.245037,14.921665
54,-54.630875,100.10962
55,-124.03999,37.594368
56,-11.4351,-22.899302
57,29.311054,-47.55134
58,93.84952,-45.735218
59,22.933,-27.346607
60,-84.05277,-75.06943
61,-17.729578,-102.965065
62,36.913204,-29.749834
63,67.481804,0.56243145
64,-12.878696,-28.097698
65,-117.583305,104.42744
66,-99.0751,-0.17314397
67,79.71823,-84.46308
68,-10.648607,-156.44536
69,-96.2224,-76.09954
70,39.971355,-92.79735
71,107.13206,-84.382065
72,26.9335,-44.08568
73,61.975533,4.489062
74,-48.340004,113.721146
75,22.30927,-22.784376
76,64.89997,91.81192
77,-27.149426,-160.90506
78,56.586742,-121.08277
79,-88.08456,108.23714
80,54.940224,-123.74161
81,126.29651,71.5559
82,-166.42613,-47.934074
83,46.92419,12.610025
84,-65.90343,72.17183
85,17.449923,124.94263
86,-39.42974,10.901833
87,-45.14251,60.839493
88,2.814882,147.37036
89,-155.07399,-19.966957
90,-87.97182,80.611664
91,26.214394,-25.610163
92,39.221626,-38.133392
93,53.97564,-31.4102
94,-42.03381,-125.42134
95,5.033722,90.220566
96,5.168176,2.8530784
97,103.10295,-85.19845
98,93.8077,-58.02607
99,89.685585,101.487885
100,58.290764,-13.873332
101,-9.411362,21.266315
102,106.850494,-90.27384
103,-33.24385,60.037933
104,-4.590978,-153.83255
105,19.527317,-110.89054
106,-42.35727,-162.78511
107,109.893974,-98.16338
108,33.490093,-35.849567
109,-20.82568,-151.63954
110,-80.94417,46.27734
111,-31.109398,62.06573
112,-111.51976,-42.95446
113,-32.37049,-149.48714
114,19.949312,-118.98977
115,43.054993,79.443436
116,-44.350132,61.662304
117,-31.779514,126.52313
118,-14.271431,122.04091
119,132.36992,-63.449238
120,-106.08756,68.81709
121,-14.747651,-113.85209
122,-169.5347,7.949842
123,72.46161,-112.926125
124,101.13172,-36.644047
125,73.2741,-114.37396
126,-76.535736,-31.797092
127,93.74595,-99.06369
128,-69.98238,-55.4472
129,74.26033,-112.16702
130,125.935265,-14.708537
131,-27.123392,24.918764
132,6.340568,155.36653
133,-31.303225,30.694096
134,89.33261,-18.636837
135,-97.308235,19.683416
136,117.47332,-10.772562
137,-11.065291,121.2169
138,-37.411945,97.11594
139,-60.50481,44.86073
140,33.739113,-36.426987
141,58.599293,88.529106
142,-55.898125,-68.47908
143,-111.81592,-61.449135
144,74.16196,-107.11366
145,53.114857,-78.83266
146,92.3817,-48.116547
147,-80.66121,91.96044
148,50.569534,-1.9668587
149,81.501366,-92.10185
150,-58.054688,-64.91813
151,56.120964,-11.395075
